subset,image_name,expected_gt_name,expected_crop_name,img_present,gt_present,crop_present,status
Ovale,1707180816-0020-R_T.jpg,1707180816-0020-R_T.jpg,1707180816-0020-R_T_diag.png,True,True,True,OK
Ovale,1708161076-0001-R.jpg,1708161076-0001-R.jpg,1708161076-0001-R_diag.png,True,True,True,OK
Ovale,1708161076-0002-R.jpg,1708161076-0002-R.jpg,1708161076-0002-R_diag.png,True,True,True,OK
Ovale,1708161076-0003-R.jpg,1708161076-0003-R.jpg,1708161076-0003-R_diag.png,True,True,True,OK
Ovale,1708161076-0004-R.jpg,1708161076-0004-R.jpg,1708161076-0004-R_diag.png,True,True,True,OK
Ovale,1708161076-0005-G.jpg,1708161076-0005-G.jpg,1708161076-0005-G_diag.png,True,True,True,OK
Ovale,1708161076-0006-R.jpg,1708161076-0006-R.jpg,1708161076-0006-R_diag.png,True,True,True,OK
Ovale,1708161076-0007-R.jpg,1708161076-0007-R.jpg,1708161076-0007-R_diag.png,True,True,True,OK
Ovale,1708161076-0008-G.jpg,1708161076-0008-G.jpg,1708161076-0008-G_diag.png,True,True,True,OK
Ovale,1708161076-0009-R.jpg,1708161076-0009-R.jpg,1708161076-0009-R_diag.png,True,True,True,OK
Ovale,1708161076-0010-G.jpg,1708161076-0010-G.jpg,1708161076-0010-G_diag.png,True,True,True,OK
