sample,method,radius_px,crop_w,crop_h,parasite_area_px2,cx,cy,x1,y1,x2,y2,rejection_log
1312132815-0017-T,lab (lab+ellipse),141,282,282,8283.5,1283,1133,1153,991,1435,1273,
1401063467-0001-S,fallback (median radius),167,334,334,9102.0,1248,989,1081,822,1415,1156,"LAB rifiutato: raggio stimato fuori range (246px, atteso 57–227px) | Hough rifiutato: raggio Hough troppo piccolo (54px < 64px, probabilmente è il parassita)"
1401063467-0002-T,lab (lab+ellipse),151,302,302,5302.0,1214,1084,1034,901,1336,1203,
1401063467-0003-T,lab (lab+ellipse),166,332,332,4613.0,1247,953,1097,784,1429,1116,
1401063467-0004-R_T,fallback (median radius),167,334,334,6979.0,2082,322,1915,155,2249,489,"LAB rifiutato: compattezza troppo bassa (0.155 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (40px < 64px, probabilmente è il parassita)"
1401063467-0005-T,lab (lab+ellipse),242,484,484,4102.0,1104,963,863,711,1347,1195,
1401063467-0006-T,fallback (median radius),167,334,334,3663.5,1292,851,1125,684,1459,1018,"LAB rifiutato: compattezza troppo bassa (0.172 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (26px < 64px, probabilmente è il parassita)"
1401063467-0007-S,fallback (median radius),167,334,334,8657.0,1178,1132,1011,965,1345,1299,"LAB rifiutato: area troppo piccola (3340 ≤ 15583) | Hough rifiutato: raggio Hough troppo piccolo (41px < 64px, probabilmente è il parassita)"
1401063467-0008-S,fallback (median radius),167,334,334,8135.5,1111,941,944,774,1278,1108,"LAB rifiutato: compattezza troppo bassa (0.127 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (49px < 64px, probabilmente è il parassita)"
1401063467-0009-T,lab (lab+ellipse),119,238,238,2919.5,1200,987,1070,820,1308,1058,
1401063467-0010-T,fallback (median radius),167,334,334,7187.5,1171,987,1004,820,1338,1154,"LAB rifiutato: compattezza troppo bassa (0.238 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (43px < 64px, probabilmente è il parassita)"
1401063467-0011-G,fallback (median radius),167,334,334,5451.0,1172,1012,1005,845,1339,1179,"LAB rifiutato: compattezza troppo bassa (0.170 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (48px < 64px, probabilmente è il parassita)"
1401063467-0012-S,fallback (median radius),167,334,334,7092.0,1288,1154,1121,987,1455,1321,"LAB rifiutato: compattezza troppo bassa (0.217 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (49px < 64px, probabilmente è il parassita)"
1401063467-0013-T,fallback (median radius),167,334,334,8917.0,1292,1116,1125,949,1459,1283,"LAB rifiutato: compattezza troppo bassa (0.128 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (59px < 64px, probabilmente è il parassita)"
1401080976-0001-T,lab (lab+ellipse),130,260,260,7471.5,1231,1164,1053,1013,1313,1273,
1401080976-0002-T,lab (lab+ellipse),182,364,364,7800.0,1183,1039,989,921,1353,1285,
1401080976-0003-T,lab (lab+ellipse),168,336,336,7086.0,1619,1215,1438,1018,1774,1354,
1401080976-0004-T,fallback (median radius),167,334,334,2238.0,1230,1193,1063,1026,1397,1360,"LAB rifiutato: compattezza troppo bassa (0.166 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (56px < 64px, probabilmente è il parassita)"
1401080976-0005-T,fallback (median radius),167,334,334,6864.5,1726,869,1559,702,1893,1036,"LAB rifiutato: compattezza troppo bassa (0.121 < 0.25) | Hough rifiutato: raggio Hough troppo piccolo (45px < 64px, probabilmente è il parassita)"
1401080976-0006-T,fallback (median radius),167,334,334,3621.0,1240,982,1073,815,1407,1149,"LAB rifiutato: raggio stimato fuori range (458px, atteso 57–227px) | Hough rifiutato: raggio Hough troppo piccolo (36px < 64px, probabilmente è il parassita)"
1401080976-0007-T,lab (lab+ellipse),221,442,442,8050.0,1171,883,1006,704,1448,1146,
1401080976-0008-T,lab (lab+ellipse),181,362,362,2746.5,1202,985,1047,782,1409,1144,
1401080976-0009-S_T,lab (lab+ellipse),162,324,324,3695.0,1291,1196,1137,1024,1461,1348,
